ID,Label
10011.pkl,3.208400249481201
10025.pkl,1.9195977449417114
10033.pkl,3.702742576599121
10036.pkl,3.1067183017730713
10043.pkl,4.340781211853027
10067.pkl,2.917443037033081
10074.pkl,3.115426778793335
10079.pkl,3.1938223838806152
10083.pkl,3.513611078262329
10090.pkl,3.268672227859497
10092.pkl,2.948087692260742
10097.pkl,3.5370867252349854
10099.pkl,3.6287429332733154
10110.pkl,0.9755743741989136
10116.pkl,3.2920029163360596
10120.pkl,2.7123899459838867
10149.pkl,2.779981851577759
10179.pkl,3.025627374649048
10184.pkl,3.1341655254364014
10189.pkl,3.430842399597168
10191.pkl,3.27321457862854
10192.pkl,2.5163869857788086
10194.pkl,4.086254119873047
10200.pkl,3.170694351196289
10202.pkl,3.1604421138763428
10204.pkl,3.2679550647735596
10206.pkl,2.565904140472412
10207.pkl,3.439300060272217
10216.pkl,4.122020721435547
10222.pkl,2.712242603302002
10224.pkl,2.892460584640503
10235.pkl,2.0185928344726562
10236.pkl,3.516446828842163
10240.pkl,2.652686357498169
10242.pkl,3.153287887573242
10251.pkl,2.809894561767578
10253.pkl,3.9249706268310547
10259.pkl,2.824263095855713
10267.pkl,3.8489832878112793
10271.pkl,3.277914524078369
10277.pkl,3.4884045124053955
10279.pkl,3.057440996170044
10286.pkl,3.6528408527374268
10287.pkl,2.749119520187378
10288.pkl,2.989776372909546
10290.pkl,1.9096437692642212
10291.pkl,4.115272521972656
10293.pkl,3.46697735786438
10306.pkl,4.4008307456970215
10315.pkl,3.1299679279327393
10316.pkl,2.950721025466919
10317.pkl,2.9281411170959473
10326.pkl,1.4095845222473145
10332.pkl,2.2106235027313232
10335.pkl,2.968057632446289
10349.pkl,3.0463035106658936
10351.pkl,1.583907127380371
10356.pkl,2.9036612510681152
10359.pkl,2.9464852809906006
10363.pkl,4.077199935913086
10376.pkl,3.0549018383026123
10379.pkl,1.8508391380310059
10380.pkl,1.44004225730896
10383.pkl,2.996006727218628
10384.pkl,3.239197015762329
10390.pkl,3.1288931369781494
10394.pkl,2.0004842281341553
10398.pkl,2.1116509437561035
10405.pkl,2.9963185787200928
10415.pkl,2.29764461517334
10421.pkl,1.6613644361495972
10425.pkl,3.098616600036621
10427.pkl,2.6464598178863525
10433.pkl,4.422719955444336
10444.pkl,2.5518839359283447
10450.pkl,3.0436103343963623
10452.pkl,3.609619617462158
10457.pkl,3.073838949203491
10462.pkl,2.869523763656616
10466.pkl,4.316009521484375
10467.pkl,3.314310312271118
10472.pkl,2.7025258541107178
10481.pkl,2.1638684272766113
10489.pkl,2.492820978164673
10506.pkl,3.2448251247406006
10507.pkl,2.7901742458343506
10513.pkl,2.007014274597168
10518.pkl,2.98810076713562
10528.pkl,3.23250412940979
10529.pkl,1.2126718759536743
10533.pkl,3.457458734512329
10535.pkl,3.556621789932251
10539.pkl,3.171640634536743
10543.pkl,3.337860345840454
10552.pkl,4.182459354400635
10553.pkl,3.9112136363983154
10558.pkl,3.244382858276367
10559.pkl,3.3397481441497803
10560.pkl,2.837130546569824
10561.pkl,1.5927470922470093
10589.pkl,3.5914011001586914
10612.pkl,3.3881380558013916
10620.pkl,3.605273723602295
10627.pkl,3.575946569442749
10629.pkl,2.9646644592285156
10631.pkl,4.181022644042969
10638.pkl,2.5451865196228027
10646.pkl,3.236102342605591
10655.pkl,2.9811885356903076
10658.pkl,3.373093843460083
10663.pkl,3.536618709564209
10679.pkl,2.987971067428589
10681.pkl,1.657952070236206
10687.pkl,3.0159692764282227
10695.pkl,3.80643892288208
10711.pkl,3.075453758239746
10712.pkl,2.9658591747283936
10718.pkl,3.3107364177703857
10721.pkl,2.215261697769165
10723.pkl,3.400904893875122
10724.pkl,3.1072657108306885
10733.pkl,3.9274003505706787
10735.pkl,3.1973259449005127
10749.pkl,3.2392547130584717
10756.pkl,3.6465930938720703
10757.pkl,1.6439212560653687
10767.pkl,2.4936342239379883
10771.pkl,2.652392625808716
10776.pkl,2.69223690032959
10787.pkl,4.081613063812256
10790.pkl,1.696565866470337
10792.pkl,2.098320722579956
10793.pkl,3.1437928676605225
10800.pkl,3.0700385570526123
10801.pkl,1.70930016040802
10802.pkl,2.8378005027770996
10810.pkl,1.924935221672058
10833.pkl,3.218435764312744
10835.pkl,3.4685471057891846
10839.pkl,2.011873960494995
10840.pkl,3.108255386352539
10846.pkl,3.225771188735962
10851.pkl,3.270268201828003
10857.pkl,3.34763765335083
10865.pkl,1.771423578262329
10883.pkl,3.2167885303497314
10884.pkl,1.535163402557373
10886.pkl,3.348487615585327
10890.pkl,2.5282986164093018
10895.pkl,2.903756856918335
10900.pkl,1.9181809425354004
10903.pkl,3.0000855922698975
10909.pkl,3.9202158451080322
10914.pkl,3.3710532188415527
10924.pkl,2.8665144443511963
10940.pkl,3.0436432361602783
10941.pkl,2.97442364692688
10944.pkl,2.833493947982788
10956.pkl,3.3400228023529053
10975.pkl,3.456321954727173
10979.pkl,4.248311996459961
10981.pkl,3.3128464221954346
10987.pkl,3.9323394298553467
10993.pkl,3.2385382652282715
10994.pkl,3.5112664699554443
11004.pkl,1.1262538433074951
11007.pkl,3.1265268325805664
11009.pkl,3.2860448360443115
11011.pkl,3.0557029247283936
11021.pkl,3.049180269241333
11024.pkl,3.4276578426361084
11041.pkl,2.2293577194213867
11043.pkl,1.3318785429000854
11049.pkl,3.2570693492889404
11052.pkl,2.8225998878479004
11055.pkl,3.882509708404541
11075.pkl,3.0711910724639893
11083.pkl,2.0628130435943604
11093.pkl,2.801645040512085
11102.pkl,3.1279447078704834
11120.pkl,3.22568941116333
11121.pkl,3.1166017055511475
11128.pkl,2.5745928287506104
11129.pkl,3.7103424072265625
11143.pkl,3.260904312133789
11144.pkl,2.977745532989502
11150.pkl,2.5797274112701416
11175.pkl,3.22597336769104
11191.pkl,3.628025770187378
11193.pkl,3.465028762817383
11201.pkl,3.4801456928253174
11209.pkl,3.2092292308807373
11236.pkl,2.9914982318878174
11237.pkl,3.5093843936920166
11240.pkl,3.597554922103882
11243.pkl,2.6885950565338135
11244.pkl,2.152406930923462
11255.pkl,2.993591547012329
11257.pkl,1.8380897045135498
11267.pkl,1.802809715270996
11272.pkl,3.231086492538452
11283.pkl,2.939666271209717
11289.pkl,2.6283435821533203
11293.pkl,2.5618317127227783
11301.pkl,3.1259396076202393
11315.pkl,3.1395087242126465
11319.pkl,2.7787392139434814
11322.pkl,2.442368745803833
11326.pkl,2.9540088176727295
11327.pkl,3.817904233932495
11328.pkl,3.452936887741089
11338.pkl,4.1425628662109375
11347.pkl,3.0501887798309326
11351.pkl,3.2022624015808105
11362.pkl,3.8414230346679688
11365.pkl,3.1080081462860107
11366.pkl,2.918578863143921
11367.pkl,3.667289972305298
11373.pkl,3.141719341278076
11379.pkl,3.2512924671173096
11382.pkl,3.099970579147339
11395.pkl,2.5595693588256836
11398.pkl,2.571169376373291
11406.pkl,4.409129619598389
11411.pkl,2.9566447734832764
11415.pkl,4.106114864349365
11423.pkl,4.014017581939697
11426.pkl,2.6958930492401123
11454.pkl,3.354539155960083
11455.pkl,1.900578260421753
11461.pkl,3.2445132732391357
11463.pkl,3.0544919967651367
11480.pkl,3.8801534175872803
11483.pkl,1.9964332580566406
11491.pkl,3.3646857738494873
